antecedents,consequents,antecedent support,consequent support,support,confidence,confidence_inverse,conviction,conviction_inverse,lift,chi_square,p_value,leverage,all_confidence,max_confidence,kulczynski,cosine,imbalance_ratio,item_id_antecedents,brand_antecedents,brand_type_antecedents,category_antecedents,item_id_consequents,brand_consequents,brand_type_consequents,category_consequents
11889,27801,0.004240233072413914,0.003945382428305662,0.0011653620695707115,0.27483443708609273,0.29537366548042704,1.3735547694367656,1.413174214680059,69.65977115787986,11326.4,0.0,0.0011486327285148892,0.27483443708609273,0.004240233072413914,0.2851040512832599,0.28491903250286565,0.041999999999999975,11889,1235,Established,Grocery,27801,1235,Established,Grocery
46536,46201,0.004050686229772895,0.003095931763136649,0.0012566253641756468,0.3102253032928943,0.40589569160997735,1.4452604205343473,1.6763879670712603,100.20417988108011,17706.7,0.0,0.0012440847160143926,0.3102253032928943,0.004050686229772895,0.35806049745143587,0.35485083349906943,0.1620977353992849,46536,56,Local,Grocery,46201,56,Local,Grocery
53521,53517,0.010439116852118362,0.012166099196180983,0.003411843167538348,0.3268325487558843,0.2804385458742066,1.4674415689263525,1.3752277550082428,26.864202197075556,12380.4,0.0,0.0032848398363949515,0.2804385458742066,0.012166099196180983,0.30363554731504544,0.30274815394558713,0.08997805413313825,53521,89,Established,Grocery,53517,89,Established,Grocery
46201,46436,0.003095931763136649,0.0029274456807890765,0.001144301309277265,0.3696145124716554,0.3908872901678657,1.581687037607094,1.6366495923416222,126.25836745569532,20378.0,0.0,0.0011352381372092529,0.3696145124716554,0.003095931763136649,0.3802509013197606,0.3801021115263136,0.03453237410071939,46201,56,Local,Grocery,46436,56,Local,Grocery
46282,46436,0.003018708975394012,0.0029274456807890765,0.0011092000421215205,0.36744186046511623,0.37889688249400477,1.576254405725223,1.6051783720357555,125.5162009926942,19633.4,0.0,0.0011003629355699441,0.36744186046511623,0.003018708975394012,0.37316937147956053,0.37312541514620745,0.018867924528301907,46282,56,Local,Grocery,46436,56,Local,Grocery
36992,7670,0.0026115342763873774,0.002801081119028397,0.0011162202955526694,0.4274193548387097,0.39849624060150374,1.7415868442428237,1.658158324265506,152.5908521303258,24075.1,0.0,0.0011089051761993853,0.39849624060150374,0.002801081119028397,0.4129577977201067,0.41270450211203896,0.04411764705882358,36992,1143,Established,Grocery,7670,1143,Established,Grocery
21960,28285,0.003741795078802345,0.002653655796974271,0.0011302608024149673,0.30206378986866794,0.42592592592592593,1.4289935523124,1.7354175182498282,113.82930303662012,18121.6,0.0,0.0011203313662130137,0.30206378986866794,0.003741795078802345,0.3639948578972969,0.35868760696253044,0.20666666666666667,21960,946,Established,Grocery,28285,946,Established,Grocery
28285,12783,0.002653655796974271,0.0028081013724595458,0.0011232405489838182,0.42328042328042326,0.39999999999999997,1.7290758609229828,1.6622439070050425,150.73544973544972,23929.3,0.0,0.0011157888144982995,0.39999999999999997,0.0028081013724595458,0.4116402116402116,0.41147559989891175,0.03559870550161809,28285,946,Established,Grocery,12783,946,Established,Grocery
21960,13910,0.003741795078802345,0.0024219874337463583,0.001031977254378883,0.275797373358349,0.4260869565217391,1.3774846650202415,1.7359044479687535,113.87233868994208,16548.4,0.0,0.00102291467371837,0.275797373358349,0.003741795078802345,0.35094216494004404,0.3428026596030852,0.2571819425444597,21960,946,Established,Grocery,13910,946,Established,Grocery
21960,18151,0.003741795078802345,0.0036856330513531537,0.0017971848783741094,0.4803001876172608,0.4876190476190477,1.9170958757531724,1.9443701025413709,130.31687661931565,33096.4,0.0,0.0017833939947602849,0.4803001876172608,0.003741795078802345,0.4839596176181542,0.48394578214628403,0.009975062344139692,21960,946,Established,Grocery,18151,946,Established,Grocery
12783,18151,0.0028081013724595458,0.0036856330513531537,0.0010951595352592229,0.39,0.29714285714285715,1.633302240899421,1.4187689614619479,105.81628571428573,16302.5,0.0,0.0010848099040293357,0.29714285714285715,0.0036856330513531537,0.3435714285714286,0.3404199087681481,0.1625487646293888,12783,946,Established,Grocery,18151,946,Established,Grocery
21960,12783,0.003741795078802345,0.0028081013724595458,0.0010249570009477342,0.27392120075046905,0.365,1.373393493458602,1.56891055893102,97.5467636022514,14043.2,0.0,0.001014449661051487,0.27392120075046905,0.003741795078802345,0.3194606003752345,0.3161980997316733,0.16899618805590855,21960,946,Established,Grocery,12783,946,Established,Grocery
46536,46202,0.004050686229772895,0.0036013900101793677,0.0012145038435887536,0.29982668977469673,0.33723196881091616,1.423074252386452,1.5027117587180192,83.25304644241066,14167.1,0.0,0.0011999157426664784,0.29982668977469673,0.004050686229772895,0.3185293292928064,0.31797978692800705,0.06979280261723005,46536,56,Local,Grocery,46202,56,Local,Grocery
46201,46282,0.003095931763136649,0.003018708975394012,0.0010600582681034784,0.3424036281179138,0.35116279069767437,1.5160991356615559,1.5364471302575313,113.42717397036333,16930.2,0.0,0.0010507125511028904,0.3424036281179138,0.003095931763136649,0.34678320940779406,0.34675555308443917,0.015277777777777724,46201,56,Local,Grocery,46282,56,Local,Grocery
46536,46282,0.004050686229772895,0.003018708975394012,0.001088139281828074,0.268630849220104,0.36046511627906974,1.3631711017089991,1.5573025633498097,88.98865422594817,13580.8,0.0,0.0010759114389497536,0.268630849220104,0.004050686229772895,0.31454798274958684,0.3111784862426547,0.1725352112676056,46536,56,Local,Grocery,46282,56,Local,Grocery
5873,23439,0.004177050791533575,0.002218400084243041,0.0010740987749657763,0.2571428571428571,0.4841772151898735,1.3431675383481343,1.9305524659501563,115.91365280289331,17542.1,0.0,0.001064832405137951,0.2571428571428571,0.004177050791533575,0.37066003616636534,0.35284941898407035,0.3680738786279684,5873,905,Established,Grocery,23439,905,Established,Grocery
